flight_id,origin,destination,departure_date,cash_price,miles_used,fees,value_standard,value_opportunity,value_conservative,category,created_at
235,BOS,LAX,2025-08-01,0.0,10000,60.3,-0.006,-0.006,-0.016,AVOID,2025-06-25 20:00:46
238,BOS,LAX,2025-08-01,0.0,10000,60.56,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
241,BOS,LAX,2025-08-01,0.0,10000,60.56,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
244,BOS,LAX,2025-08-01,0.0,10000,60.6,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
247,BOS,LAX,2025-08-01,0.0,10000,60.68,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
250,BOS,LAX,2025-08-01,0.0,10000,60.68,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
253,BOS,LAX,2025-08-01,0.0,10000,60.7,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
256,BOS,LAX,2025-08-01,0.0,10000,60.86,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
259,BOS,LAX,2025-08-01,0.0,10000,60.86,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
262,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
265,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
268,BOS,LAX,2025-08-01,0.0,10000,61.04,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
271,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
274,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
277,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
280,BOS,LAX,2025-08-01,0.0,10000,61.17,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
283,BOS,LAX,2025-08-01,0.0,10000,61.18,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
286,BOS,LAX,2025-08-01,0.0,10000,61.21,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
289,BOS,LAX,2025-08-01,0.0,10000,61.29,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
292,BOS,LAX,2025-08-01,0.0,10000,61.3,-0.0061,-0.0061,-0.0161,AVOID,2025-06-25 20:00:46
295,BOS,LAX,2025-08-01,0.0,10000,61.56,-0.0062,-0.0062,-0.0162,AVOID,2025-06-25 20:00:46
